topic,party,overall_emotion_change_pp,party_total_contribution_pp,party_within_emotion_contribution_pp,party_composition_contribution_pp,early_party_topic_share_pct,late_party_topic_share_pct,early_party_emotion_pct,late_party_emotion_pct,early_count,late_count
Transportation,Mitte,-8.137793171806779,-0.24946079367848067,-0.13786397168321352,-0.11159682199526715,16.619183285849953,15.54907677356657,10.857142857142858,10.0,175,160
Transportation,FDP,-8.137793171806779,-1.8904753598631148,-1.4300498423993975,-0.46042551746371724,26.11585944919278,17.687074829931973,8.727272727272728,2.197802197802198,275,182
Transportation,SVP,-8.137793171806779,-1.0510024115466299,-0.7207568727068799,-0.33024553883974994,23.36182336182336,21.671525753158406,21.138211382113823,17.937219730941703,246,223
Defense,SP,7.281872192080133,2.2535474922053362,2.382143524609126,-0.12859603240378978,23.534971644612476,22.97077922077922,17.670682730923694,27.915194346289752,249,283
Defense,Grüne,7.281872192080133,1.385240468416272,-0.8111512778336972,2.196391746249969,8.506616257088846,15.827922077922077,33.33333333333333,26.666666666666668,90,195
Defense,GLP,7.281872192080133,1.6233766233766236,0.8116883116883118,0.8116883116883118,0.0,8.603896103896105,,18.867924528301888,0,106
Defense,Mitte,7.281872192080133,0.4090663589718412,0.9744418636706701,-0.5653755046988289,17.107750472589792,12.824675324675324,9.94475138121547,16.455696202531644,181,158
Defense,FDP,7.281872192080133,-0.900835931554268,1.5791056841574458,-2.479941615711714,27.882797731569,10.876623376623376,10.508474576271185,18.65671641791045,295,134
Defense,SVP,7.281872192080133,2.5114771806643263,1.1810701501223035,1.3304070305420228,22.967863894139885,28.8961038961039,20.16460905349794,24.719101123595504,243,356
Environment,SP,4.454467488965422,-0.46226241418173464,1.9231066636494458,-2.3853690778311805,28.92249527410208,20.42755344418052,24.18300653594771,31.976744186046513,153,344
Environment,Grüne,4.454467488965422,0.4443017570012884,-1.44212683429251,1.8864285912937984,20.604914933837428,26.068883610451305,37.61467889908257,31.435079726651484,109,439
Environment,GLP,4.454467488965422,1.7814726840855106,0.8907363420427553,0.8907363420427553,0.0,9.085510688836104,,19.607843137254903,0,153
Environment,Mitte,4.454467488965422,0.47999856314742567,0.40243427654076697,0.07756428660665872,10.396975425330812,11.104513064133016,9.090909090909092,12.834224598930483,55,187
Environment,FDP,4.454467488965422,-0.5839458665792583,0.4548167903866019,-1.0387626569658601,21.928166351606805,11.520190023752969,8.620689655172415,11.34020618556701,116,194
Environment,SVP,4.454467488965422,2.794902765492189,2.0042952265242824,0.790607538967907,18.147448015122876,21.79334916864608,16.666666666666664,26.70299727520436,96,367
Civil Rights,SP,10.25724595506926,0.07139254258332484,3.467790389357115,-3.39639784677379,32.159624413145536,23.140495867768596,31.386861313868614,43.92857142857143,274,280
Civil Rights,Grüne,10.25724595506926,1.8833663135839833,-0.9184184679863536,2.801784781570337,13.497652582159624,19.173553719008265,52.17391304347826,46.55172413793103,115,232
Civil Rights,GLP,10.25724595506926,1.8181818181818183,0.9090909090909092,0.9090909090909092,0.0,6.6115702479338845,,27.500000000000004,0,80
Civil Rights,Mitte,10.25724595506926,0.5020758157761998,1.6473761387123447,-1.145300322936145,15.845070422535212,11.322314049586776,19.25925925925926,31.386861313868614,135,137
Civil Rights,FDP,10.25724595506926,-2.519691149652737,-0.06298448891229466,-2.4567066607404424,24.295774647887324,12.644628099173556,21.256038647342994,20.915032679738562,207,153
Civil Rights,SVP,10.25724595506926,8.501920614596669,3.5524263087100523,4.949494305886617,14.2018779342723,27.107438016528924,29.75206611570248,46.95121951219512,121,328
